TIME_PERIOD,FR_price_Goods_services_consumed_agri_prod00
2000Q1,96.1
2000Q2,97.7
2000Q3,98.6
2000Q4,100.5
2001Q1,101.8
2001Q2,101.4
2001Q3,101.6
2001Q4,101.6
2002Q1,101.0
2002Q2,101.9
2002Q3,101.2
2002Q4,100.9
2003Q1,101.6
2003Q2,101.6
2003Q3,101.7
2003Q4,102.9
2004Q1,105.1
2004Q2,105.9
2004Q3,105.2
2004Q4,105.3
2005Q1,98.7
2005Q2,98.6
2005Q3,99.4
2005Q4,99.5
2006Q1,99.9
2006Q2,99.5
2006Q3,99.7
2006Q4,100.3
2007Q1,100.9
2007Q2,101.8
2007Q3,103.6
2007Q4,107.8
2008Q1,68.0
2008Q2,70.0
2008Q3,72.7
2008Q4,71.6
