TIME_PERIOD,FR_price_Goods_services_consumed_agri_prod05
2000Q1,
2000Q2,
2000Q3,
2000Q4,
2001Q1,
2001Q2,
2001Q3,
2001Q4,
2002Q1,
2002Q2,
2002Q3,
2002Q4,
2003Q1,
2003Q2,
2003Q3,
2003Q4,
2004Q1,
2004Q2,
2004Q3,
2004Q4,
2005Q1,99.4
2005Q2,99.6
2005Q3,100.4
2005Q4,100.5
2006Q1,101.1
2006Q2,100.7
2006Q3,100.7
2006Q4,101.3
2007Q1,102.6
2007Q2,103.5
2007Q3,106.4
2007Q4,110.9
2008Q1,115.3
2008Q2,119.0
2008Q3,141.8
2008Q4,118.7
2009Q1,115.7
2009Q2,111.4
2009Q3,107.4
2009Q4,105.4
2010Q1,105.5
2010Q2,105.1
2010Q3,106.2
2010Q4,110.6
2011Q1,115.9
2011Q2,116.1
2011Q3,116.6
2011Q4,115.4
2012Q1,115.6
2012Q2,115.5
2012Q3,118.9
2012Q4,121.1
