;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
production bœuf;170617;167115;154740;146012;141961;150222;146795;147069;143822;155634;154144;147735;140603;137511;135768;138775;146888;146645;141927;143058;137719;134542;135899;134232;140274;129108;128451;139714;134927;122495;121574;122713;134316;127122;129227;125261;154133;154839;163215;159706;161438;151369;124531;153502;156637;164646;144470;129457;136972;152784;149572;148384;148676;136864;154183;161595;145863;138837;131910;140990;133637;138614;136252;138634;140230;134880;131501;135410;135276;129797;138004;146147;154313;148879;133619;140327;145034;147004;131228;131697;143953;169201;150016;130660;128920;131887;140399;145159;143968;141261;131834;142516;150922;137949;136650;136423;127659;141501;140868;144183;134726;122962;132468;138171;139530;137363;135941;126201;151731;153437;135995;125159;119684;135859;139518;134286;131004;140242;136488;131541;129620;129376;122855;123516;134841;135646;154636;144469;146418;151161;151080;149615;135119;145193;156726;153893;137097;122707;128088;141177;144500;142770;140853;131831;159928;164482;155652;151392;142825;138639;152666;149473;155335;149376;143354;143705;140547;147714;148895;141734;136356;140430;174445;170508;151926;148287;148350;149054;154535;143655;143517;154444;147730;142942;143134;129307;141510;149137;158489;154548;155375;144876;151233;158983;150488;142415;133038;147025;159556;161111;141528;131274;138828;152868;148340;149902;146162;136677;155254;154422;153055;152730;132972;130189;155121;142752;148717;142070;132699;134895;138706;140563;140122;133881;135272;136049
