,Steak hache,Pains et cereales : pates superieures,Emmental francais,Huile de tournesol,Beurre extra-fin (250g),Oignon,Tomate,Sucre,Lait,Escalope,Pomme,Orange,Banane,Patate,Salade,Carotte,Champignon,Concombre,Courgette,Yaourts nature (500 g),Poisson,Baguette, Panier Mensuel Moyen ,IPC,IPP,Prod céréales,Prod graines(huile),Prod légumes,Prod fruits,FR_prod_bovine,FR_prod_chicken
83,22.839,7.12,3.6,1.13,1.2075,1.344,1.841,0.426,0.539,22.24,1.095,1.267,1.58,0.0,1.48,0.56,2.862,0.0,1.0,5.44,10.506,8.375,96.45,93.31,98.2,82.5865816005041,73.62183316168898,82.8998568048811,99.2781924138636,136.22,73204.5
84,22.54,7.12,3.588,1.125,1.2075,1.337,1.869,0.423,0.532,22.19,1.095,1.281,1.6,1.12,1.65,0.58,2.838,0.0,1.276,5.36,11.226,8.375,98.33,93.88,95.8,82.61960302457467,71.8455200823893,87.50700410907733,99.03772620386464,124.75,58754.3
85,22.563,7.04,3.524,1.115,1.215,1.295,1.673,0.42,0.532,22.09,1.08,1.344,1.64,0.987,1.77,0.58,2.826,0.0,1.344,5.28,9.426,8.375,96.12,93.92,95.2,82.8507529930687,73.87559217301752,83.18780351139335,98.21327062672528,112.03,59183.9
86,22.54,7.04,3.512,1.105,1.2075,1.274,1.764,0.423,0.532,22.14,1.07,1.344,1.75,1.057,1.78,0.57,2.802,1.645,0.876,5.28,9.456,8.375,97.54,93.79,94.8,83.08190296156269,75.90566426364573,78.86860291370938,97.38881504958593,135.94,79169.5
87,22.54,6.96,3.508,1.105,1.2075,1.288,2.212,0.426,0.532,22.01,1.085,1.358,1.9,1.498,1.47,0.63,2.778,1.07,0.696,5.28,10.074,8.375,98.0,93.85,94.7,83.3130529300567,77.93573635427396,74.54940231602541,96.56435947244658,120.95,64653.0
88,22.655,6.88,3.496,1.1,1.2,1.274,2.156,0.426,0.532,22.15,1.1,1.309,1.79,1.694,1.3,0.735,2.796,0.96,0.648,5.28,10.374,8.35,98.21,94.13,94.8,81.10061751732829,74.50998970133882,72.27462333457852,92.54513853389224,118.02,66885.4
89,22.701,6.8,3.448,1.09,1.1925,1.323,1.778,0.426,0.525,22.14,1.135,1.33,1.74,1.274,1.17,0.725,2.736,0.935,0.616,5.28,10.296,8.35,97.01,93.61,95.2,78.88818210459988,71.08424304840372,69.99984435313162,88.5259175953379,127.82,78458.9
90,22.448,6.8,3.412,1.08,1.1925,1.344,1.589,0.423,0.518,22.04,1.16,1.351,1.68,1.071,1.14,0.65,2.748,0.915,0.58,5.28,9.93,8.35,95.7,92.96,95.1,76.67574669187147,67.65849639546859,67.72506537168474,84.50669665678356,117.98,64562.3
91,22.701,6.8,3.4,1.07,1.185,1.372,1.337,0.426,0.511,22.2,1.155,1.302,1.58,0.952,1.13,0.54,2.736,0.92,0.552,5.28,10.638,8.35,96.14,92.28,95.4,76.21344675488344,68.54665293511844,67.92662806624331,83.02954708107555,131.1,62560.3
92,22.448,6.8,3.384,1.065,1.1925,1.365,1.442,0.426,0.511,22.33,1.07,1.351,1.55,0.994,1.2,0.51,2.742,1.02,0.6,5.36,10.284,8.375,96.02,92.7,95.1,75.7511468178954,69.43480947476829,68.12819076080189,81.55239750536755,127.58,78484.0
93,22.862,6.8,3.368,1.065,1.1925,1.358,1.736,0.423,0.511,22.26,0.98,1.379,1.57,0.0,1.23,0.505,2.688,0.0,0.692,5.44,10.002,8.375,94.44,93.1,95.0,75.28884688090737,70.32296601441814,68.32975345536047,80.07524792965955,122.37,59936.1
94,22.862,6.8,3.364,1.055,1.185,1.323,1.638,0.423,0.504,22.23,0.985,1.337,1.54,0.0,1.31,0.51,2.7,0.0,0.832,5.44,10.038,8.375,94.45,93.16,95.2,73.86892564587271,73.17775489186407,78.95498692566306,84.43799202535529,127.11,56263.0
95,22.563,6.72,3.368,1.06,1.185,1.344,1.638,0.42,0.497,22.2,0.995,1.316,1.53,0.0,1.32,0.515,2.718,0.0,0.796,5.36,10.164,8.35,94.06,93.05,95.2,72.44900441083807,76.03254376931,89.58022039596564,88.80073612105102,124.52,87625.6
96,22.747,6.64,3.348,1.05,1.185,1.323,1.89,0.42,0.497,22.23,1.005,1.386,1.56,0.945,1.65,0.57,2.73,0.0,1.304,5.44,10.08,8.35,96.35,93.94,96.0,71.02908317580341,78.88733264675594,100.20545386626821,93.16348021674676,124.58,58382.2
97,22.586,6.64,3.352,1.045,1.185,1.351,2.002,0.417,0.497,22.28,1.0,1.407,1.56,1.001,1.72,0.575,2.736,0.0,1.384,5.44,9.102,8.35,95.63,94.01,96.0,72.74619722747322,80.75880535530382,96.46214668160879,98.07586136386874,111.31,59518.0
98,22.678,6.56,3.352,1.04,1.1775,1.337,2.429,0.417,0.497,22.28,1.015,1.414,1.64,1.036,1.82,0.59,2.778,1.545,1.52,5.36,9.408,8.35,98.24,94.34,96.4,74.46331127914304,82.6302780638517,92.71883949694931,102.9882425109907,136.85,75712.7
99,22.517,6.56,3.336,1.035,1.1775,1.393,2.646,0.417,0.497,22.27,1.04,1.414,1.69,1.526,1.73,0.625,2.808,1.255,1.272,5.36,10.236,8.35,99.15,94.7,96.9,76.18042533081287,84.50175077239959,88.97553231228989,107.90062365811266,118.45,62059.7
100,22.402,6.56,3.344,1.035,1.1775,1.477,2.415,0.414,0.504,22.34,1.085,1.435,1.67,1.652,1.53,0.65,2.814,1.12,0.848,5.28,10.236,8.375,98.36,94.95,97.1,90.24755198487712,89.22801235839343,85.63535051674761,105.4959615581229,129.13,63162.9
101,22.31,6.48,3.332,1.025,1.1775,1.505,1.918,0.414,0.497,22.28,1.17,1.575,1.73,1.379,1.36,0.615,2.79,1.05,0.712,5.28,10.422,8.35,97.37,94.8,97.2,104.3146786389414,93.95427394438723,82.29516872120534,103.0912994581331,123.71,73842.5
102,22.31,6.48,3.328,1.02,1.185,1.568,2.023,0.411,0.504,22.23,1.21,1.659,1.73,1.211,1.31,0.585,2.778,1.16,0.708,5.28,10.428,8.325,97.44,94.29,97.3,118.38180529300567,98.68053553038106,78.95498692566306,100.68663735814334,115.4,61813.2
103,22.379,6.48,3.328,1.015,1.1925,1.561,1.778,0.414,0.504,22.46,1.24,1.652,1.66,1.127,1.31,0.57,2.766,1.07,0.712,5.28,10.752,8.35,97.6,93.46,97.3,122.37739760554504,105.2465499485067,80.22195243431703,103.46917493098866,139.6,59302.1
104,22.402,6.4,3.336,1.01,1.1925,1.568,1.841,0.411,0.504,22.41,1.22,1.603,1.62,1.162,1.36,0.565,2.76,1.06,0.72,5.28,10.932,8.375,97.73,93.48,97.8,126.37298991808443,111.81256436663234,81.48891794297097,106.25171250383396,131.29,74431.4
105,22.379,6.4,3.336,1.0,1.2,1.519,1.89,0.408,0.511,22.28,1.095,1.568,1.59,0.0,1.37,0.545,2.766,0.0,0.692,5.28,10.362,8.4,94.59,93.57,98.2,130.36858223062382,118.37857878475799,82.75588345162495,109.03425007667927,121.75,58933.3
106,22.379,6.32,3.336,0.995,1.215,1.505,2.044,0.408,0.511,22.42,1.1,1.407,1.57,0.0,1.43,0.54,2.79,0.0,0.864,5.2,10.368,8.425,94.83,93.99,98.6,135.18971014492755,120.44037075180229,81.25856057776117,109.20601165525,137.39,55974.6
107,22.31,6.32,3.34,1.0,1.215,1.505,2.149,0.408,0.511,22.31,1.12,1.281,1.63,0.0,1.5,0.545,2.784,0.0,1.048,5.2,10.182,8.45,94.81,94.15,99.2,140.01083805923125,122.50216271884658,79.76123770389738,109.37777323382066,129.79,75173.6
108,22.264,6.32,3.304,1.005,1.215,1.484,1.897,0.408,0.511,22.41,1.12,1.302,1.7,1.281,1.56,0.57,2.82,0.0,0.872,5.2,10.656,8.475,96.37,94.01,100.2,144.83196597353495,124.56395468589085,78.26391483003361,109.54953481239137,135.41,64156.6
109,22.379,6.24,3.304,1.005,1.215,1.512,1.953,0.405,0.511,22.35,1.11,1.344,1.85,1.302,1.54,0.575,2.808,0.0,0.884,5.2,9.594,8.525,95.61,94.3,100.9,142.71859483301827,121.86776519052523,77.05453866268212,106.32041713526226,121.07,65777.4
110,22.402,6.4,3.34,1.04,1.2225,1.526,2.023,0.408,0.511,22.57,1.13,1.358,1.88,1.372,1.42,0.565,2.784,1.195,0.772,5.2,10.032,8.525,97.68,95.1,101.9,140.60522369250157,119.17157569515963,75.8451624953306,103.0912994581331,140.79,84597.4
111,22.494,6.48,3.368,1.075,1.2375,1.526,2.17,0.411,0.518,22.48,1.145,1.393,1.8,1.645,1.3,0.58,2.754,1.08,0.732,5.28,10.068,8.55,98.09,95.25,102.8,138.4918525519849,116.47538619979404,74.63578632797909,99.862181781004,122.13,68103.9
112,22.931,6.48,3.392,1.125,1.2525,1.568,2.044,0.408,0.525,22.76,1.17,1.379,1.78,1.638,1.21,0.64,2.766,1.075,0.72,5.36,10.512,8.55,99.29,96.21,102.6,134.46323881537495,113.65231719876417,74.23266093886191,96.22083631530519,148.15,69497.8
113,22.954,6.56,3.42,1.135,1.26,1.624,1.82,0.408,0.525,22.66,1.23,1.358,1.73,1.344,1.17,0.64,2.754,0.95,0.676,5.36,10.638,8.575,98.79,96.45,102.5,130.43462507876495,110.82924819773432,73.82953554974475,92.57949084960637,124.33,82054.2
114,23.161,6.56,3.432,1.14,1.2675,1.659,1.652,0.408,0.525,22.8,1.265,1.407,1.67,1.204,1.19,0.625,2.766,0.97,0.64,5.36,10.422,8.575,98.7,96.31,102.9,126.40601134215501,108.00617919670444,73.42641016062757,88.93814538390757,122.11,65954.4
115,23.299,6.64,3.428,1.16,1.2675,1.596,1.414,0.414,0.525,22.81,1.26,1.428,1.6,1.099,1.2,0.605,2.784,0.935,0.832,5.44,11.07,8.6,99.41,96.16,102.9,122.21229048519218,106.57878475798147,71.84270327481012,90.89622737961353,137.24,66238.6
116,23.138,6.56,3.428,1.16,1.2675,1.589,1.533,0.417,0.525,22.82,1.175,1.47,1.57,1.197,1.23,0.59,2.778,1.035,0.704,5.52,10.854,8.6,99.16,96.36,103.1,118.01856962822937,105.15139031925851,70.25899638899266,92.85430937531949,122.72,78427.9
117,23.23,6.56,3.44,1.16,1.2675,1.512,1.729,0.426,0.532,22.77,1.065,1.519,1.58,0.0,1.25,0.575,2.778,0.0,0.668,5.68,10.932,8.6,97.27,96.71,103.1,113.82484877126655,103.72399588053554,68.6752895031752,94.81239137102546,127.64,64589.3
118,23.391,6.64,3.448,1.16,1.2675,1.309,1.855,0.441,0.532,22.83,1.07,1.407,1.62,0.0,1.26,0.56,2.754,0.0,0.864,5.76,10.794,8.575,97.54,96.98,103.4,116.76375551354758,106.57878475798147,72.44739135848586,95.43073305387996,134.61,59513.8
119,23.506,6.56,3.444,1.16,1.2675,1.365,1.778,0.447,0.532,22.97,1.105,1.344,1.61,0.0,1.43,0.57,2.814,0.0,0.788,5.76,11.004,8.575,98.03,97.25,103.1,119.70266225582859,109.43357363542741,76.21949321379654,96.04907473673448,120.86,79958.0
120,23.46,6.56,3.444,1.14,1.2675,1.358,1.932,0.45,0.532,22.94,1.09,1.393,1.62,1.239,1.39,0.56,2.814,0.0,1.02,5.76,11.766,8.575,100.31,97.34,103.8,122.64156899810963,112.28836251287333,79.9915950691072,96.667416419589,132.45,66074.5
121,23.552,6.56,3.448,1.135,1.2675,1.323,1.995,0.447,0.532,23.0,1.075,1.4,1.7,1.036,1.65,0.585,2.82,0.0,1.312,5.84,9.75,8.625,99.05,97.89,104.3,122.70761184625078,114.06467559217302,81.77686464948324,98.8316123095798,117.63,66385.4
122,23.552,6.56,3.44,1.13,1.2675,1.33,2.156,0.441,0.532,23.04,1.11,1.4,1.77,1.078,1.8,0.615,2.802,1.51,0.976,5.76,9.93,8.625,100.82,98.58,104.8,122.77365469439194,115.8409886714727,83.56213422985928,100.99580819957059,125.97,82095.6
123,23.437,6.56,3.432,1.125,1.26,1.365,2.282,0.438,0.532,23.0,1.13,1.393,1.84,1.603,1.71,0.635,2.766,1.28,0.852,5.76,10.836,8.625,101.86,98.58,104.8,122.83969754253309,117.6173017507724,85.34740381023533,103.16000408956138,124.22,69279.6
124,24.012,6.56,3.416,1.125,1.26,1.386,2.114,0.435,0.532,23.1,1.15,1.33,1.8,1.673,1.48,0.68,2.778,1.145,0.76,5.84,11.28,8.6,102.46,99.14,104.3,130.96296786389414,120.15489186405769,82.84226746357864,102.40425314385031,131.56,71296.8
125,24.288,6.56,3.404,1.13,1.2525,1.484,2.1,0.432,0.532,22.98,1.225,1.414,1.78,1.442,1.44,0.715,2.766,1.145,0.696,5.84,10.794,8.6,102.02,99.54,103.6,139.0862381852552,122.69248197734296,80.33713111692194,101.64850219813925,116.03,83715.1
126,24.265,6.56,3.408,1.13,1.2525,1.547,1.953,0.429,0.532,23.19,1.3,1.533,1.78,1.309,1.35,0.76,2.754,1.11,0.684,5.84,10.722,8.6,102.01,98.93,104.0,147.20950850661626,125.23007209062823,77.83199477026523,100.89275125242818,121.4,66711.5
127,24.38,6.64,3.408,1.135,1.2525,1.596,2.009,0.423,0.532,23.07,1.365,1.596,1.72,1.155,1.32,0.755,2.76,1.03,0.592,5.84,10.782,8.65,102.01,98.45,104.9,147.77087271581598,122.88280123583934,77.25610135724068,109.1373070238217,119.88,65830.6
128,24.426,6.72,3.404,1.13,1.2525,1.568,1.82,0.423,0.532,23.18,1.33,1.603,1.7,1.26,1.34,0.735,2.748,1.045,0.704,5.92,10.908,8.675,102.42,98.66,105.1,148.33223692501576,120.53553038105049,76.68020794421616,117.38186279521521,123.33,81387.7
129,24.886,6.72,3.4,1.135,1.2525,1.561,2.002,0.417,0.532,23.08,1.255,1.617,1.72,0.0,1.39,0.69,2.772,0.0,0.844,5.92,10.548,8.725,100.47,99.5,105.2,148.89360113421552,118.1882595262616,76.10431453119163,125.62641856660873,126.35,70936.6
130,25.3,6.64,3.4,1.135,1.2675,1.54,1.939,0.414,0.532,23.47,1.28,1.512,1.75,0.0,1.52,0.65,2.796,0.0,0.964,5.92,10.392,8.75,101.17,99.51,104.8,144.99707309388785,117.64902162718847,77.88958411156767,127.10356814231675,121.6,62844.5
131,24.771,6.64,3.396,1.135,1.26,1.512,1.89,0.414,0.539,23.47,1.3,1.386,1.75,0.0,1.57,0.63,2.79,0.0,1.344,5.92,10.344,8.775,100.84,99.49,104.5,141.10054505356018,117.10978372811535,79.67485369194371,128.58071771802474,117.26,85810.5
132,24.518,6.64,3.384,1.135,1.2525,1.526,1.96,0.408,0.532,23.56,1.295,1.365,1.75,1.113,1.6,0.62,2.82,0.0,1.24,6.0,11.148,8.675,102.54,99.43,104.9,137.20401701323252,116.57054582904223,81.46012327231976,130.05786729373276,127.95,70400.45
133,24.748,6.64,3.384,1.125,1.245,1.505,1.932,0.405,0.532,23.59,1.3,1.414,1.82,1.169,1.57,0.63,2.778,0.0,1.056,6.0,10.014,8.7,101.56,99.52,105.3,133.8688531821046,114.85767250257467,84.80030506786206,125.83253246089356,107.29,68935.57
134,24.702,6.64,3.372,1.125,1.2375,1.526,2.079,0.405,0.539,23.76,1.33,1.421,1.81,1.302,1.56,0.64,2.784,1.575,0.896,6.0,9.876,8.675,103.25,100.0,105.0,130.5336893509767,113.14479917610711,88.1404868634043,121.6071976280544,114.37,87443.17
135,24.748,6.56,3.356,1.13,1.2375,1.512,2.408,0.402,0.539,23.62,1.365,1.463,1.84,1.638,1.56,0.665,2.802,1.29,0.84,5.92,10.488,8.675,104.06,100.3,104.4,127.19852551984877,111.43192584963955,91.48066865894658,117.38186279521521,121.02,68793.19
136,24.794,6.56,3.336,1.13,1.23,1.512,2.373,0.402,0.539,23.71,1.39,1.456,1.81,1.736,1.57,0.71,2.802,1.24,1.0,5.92,10.896,8.675,104.79,100.92,104.1,121.58488342785128,104.42183316168898,86.47039596563317,116.38564563950517,118.97,72498.0
137,25.047,6.48,3.356,1.125,1.2375,1.589,1.939,0.396,0.539,23.69,1.485,1.519,1.84,1.764,1.53,0.75,2.79,1.225,0.964,5.84,11.19,8.675,104.97,101.36,104.2,115.97124133585382,97.41174047373842,81.46012327231976,115.38942848379513,112.09,89561.4
138,25.07,6.48,3.38,1.125,1.245,1.596,1.869,0.399,0.546,23.7,1.58,1.589,1.84,1.575,1.46,0.745,2.76,1.175,0.772,5.84,10.968,8.675,104.39,100.69,104.5,110.35759924385634,90.40164778578786,76.44985057900635,114.39321132808506,118.94,71724.88
139,25.093,6.48,3.384,1.115,1.245,1.708,1.799,0.399,0.546,23.68,1.695,1.68,1.8,1.463,1.41,0.755,2.772,1.21,0.68,5.76,10.932,8.675,104.28,100.25,104.6,110.75385633270321,90.27476828012358,74.83734902253768,115.38942848379513,108.95,67173.76
140,25.093,6.48,3.408,1.11,1.2375,1.687,1.631,0.396,0.539,23.81,1.625,1.687,1.76,1.379,1.41,0.745,2.772,1.2,0.748,5.76,11.046,8.7,104.22,99.79,104.4,111.1501134215501,90.14788877445932,73.22484746606898,116.38564563950517,123.57,84195.2
141,25.231,6.4,3.4,1.1,1.245,1.589,1.624,0.393,0.539,23.65,1.31,1.701,1.75,0.0,1.42,0.71,2.766,0.0,0.788,5.6,10.692,8.7,100.61,99.69,103.8,111.54637051039697,90.02100926879505,71.61234590960031,117.38186279521521,120.77,63404.72
142,25.162,6.4,3.388,1.095,1.26,1.617,1.82,0.39,0.539,23.85,1.235,1.54,1.75,0.0,1.43,0.68,2.772,0.0,1.088,5.6,10.908,8.7,101.22,99.78,103.7,110.1594706994329,89.64037075180228,70.48935375420248,112.64124322666393,112.49,55667.31
143,25.208,6.4,3.368,1.09,1.26,1.582,1.876,0.39,0.539,23.75,1.23,1.386,1.76,0.0,1.5,0.675,2.778,0.0,1.464,5.52,10.458,8.7,100.93,99.88,103.9,108.7725708884688,89.25973223480948,69.36636159880463,107.90062365811266,118.09,80102.28
144,25.254,6.32,3.376,1.075,1.245,1.631,2.058,0.384,0.539,23.62,1.205,1.393,1.74,1.407,1.49,0.66,2.784,0.0,1.132,5.52,11.598,8.7,103.13,99.8,103.7,107.38567107750474,88.8790937178167,68.2433694434068,103.16000408956138,121.88,66459.64
145,25.139,6.24,3.388,1.075,1.245,1.617,1.995,0.384,0.539,23.89,1.195,1.414,1.77,1.281,1.49,0.68,2.772,0.0,0.924,5.44,10.74,8.7,101.92,99.67,103.7,107.38567107750474,90.11616889804327,70.31658573029512,100.30876188528778,106.34,66346.57
146,24.84,6.24,3.44,1.075,1.2675,1.603,2.219,0.381,0.546,23.76,1.185,1.414,1.76,1.421,1.41,0.69,2.808,1.3,0.76,5.44,9.804,8.675,102.04,99.86,103.5,107.38567107750474,91.35324407826982,72.38980201718341,97.4575196810142,122.07,88331.2
147,24.863,6.24,3.468,1.07,1.2825,1.582,2.408,0.378,0.553,23.73,1.21,1.4,1.79,1.953,1.36,0.705,2.784,1.15,0.716,5.68,9.99,8.675,102.99,99.7,103.5,107.38567107750474,92.5903192584964,74.46301830407172,94.60627747674062,115.92,71282.13
148,24.909,6.16,3.48,1.07,1.275,1.659,1.925,0.378,0.553,23.81,1.23,1.365,1.77,1.974,1.32,0.71,2.784,1.085,0.708,6.0,10.722,8.7,103.59,100.03,103.6,104.01748582230624,88.40329557157571,74.52060764537418,91.51456906246804,115.58,71761.73
149,24.955,6.16,3.46,1.065,1.2675,1.701,1.918,0.378,0.553,23.65,1.26,1.379,1.78,1.589,1.29,0.7,2.778,1.06,0.688,5.92,10.818,8.675,103.04,99.82,103.8,100.64930056710774,84.216271884655,74.57819698667664,88.42286064819548,119.55,84745.84
150,25.001,6.08,3.46,1.065,1.26,1.722,1.792,0.375,0.546,24.05,1.27,1.421,1.78,1.302,1.26,0.68,2.778,1.08,0.66,5.92,10.704,8.675,102.88,99.28,103.8,97.28111531190926,80.02924819773429,74.63578632797909,85.33115223392291,114.76,66326.97
151,24.863,6.08,3.452,1.065,1.2525,1.736,1.505,0.375,0.546,23.9,1.27,1.512,1.74,1.12,1.29,0.65,2.766,1.06,0.708,5.84,10.776,8.675,102.18,98.75,103.5,98.96520793950852,80.31472708547888,74.80855435188646,89.9000102239035,114.67,65045.97
152,24.702,6.08,3.436,1.065,1.2525,1.68,1.869,0.372,0.546,23.85,1.22,1.582,1.73,1.19,1.34,0.645,2.76,1.105,0.948,5.92,10.668,8.675,102.64,99.18,103.3,100.64930056710774,80.6002059732235,74.9813223757938,94.46886821388405,123.4,82200.16
153,24.771,6.08,3.428,1.06,1.245,1.68,2.023,0.369,0.546,24.04,1.1,1.575,1.76,0.0,1.36,0.635,2.754,0.0,1.036,5.84,10.74,8.7,100.74,99.54,102.5,102.33339319470699,80.88568486096808,75.15409039970116,99.03772620386464,123.38,62528.59
154,24.817,5.92,3.416,1.055,1.245,1.701,2.037,0.369,0.546,23.9,1.1,1.477,1.76,0.0,1.43,0.63,2.742,0.0,0.916,5.84,11.07,8.7,100.67,99.53,101.9,103.15892879647133,83.23295571575696,76.73779728551861,100.65228504242918,119.74,59775.35
155,24.84,6.0,3.408,1.06,1.2375,1.666,2.009,0.369,0.546,24.02,1.13,1.33,1.75,0.0,1.46,0.63,2.748,0.0,0.904,5.84,10.596,8.7,100.24,99.46,100.6,103.98446439823569,85.58022657054583,78.32150417133609,102.26684388099375,121.86,71545.0
156,24.679,6.16,3.408,1.045,1.23,1.645,2.072,0.363,0.553,23.81,1.125,1.372,1.74,1.106,1.61,0.645,2.784,0.0,1.54,5.68,12.144,8.625,103.34,99.55,99.4,104.81,97.1,107.08,97.81,119.82,73905.69
157,24.61,6.16,3.392,1.045,1.2225,1.582,2.156,0.36,0.553,23.76,1.12,1.421,1.77,1.176,1.63,0.66,2.76,0.0,1.928,5.6,10.362,8.625,101.89,99.74,100.3,102.22,98.61666666666666,104.96,99.28333333333332,106.52,69263.6
158,24.679,6.16,3.372,1.045,1.2225,1.533,2.107,0.36,0.553,24.0,1.14,1.421,1.79,1.498,1.65,0.675,2.778,1.48,1.376,5.52,10.326,8.65,103.34,99.95,100.7,99.63,100.13333333333334,102.84,100.75666666666667,135.03,74002.17
159,24.748,6.24,3.352,1.05,1.2225,1.589,2.408,0.354,0.553,23.9,1.18,1.428,1.83,1.974,1.58,0.73,2.784,1.365,1.124,5.52,11.214,8.625,104.77,99.97,101.1,97.04,101.65,100.72,102.23,117.65,74878.53
160,24.886,6.24,3.336,1.045,1.215,1.68,2.296,0.354,0.553,23.87,1.22,1.428,1.83,2.037,1.49,0.78,2.808,1.195,0.932,5.44,11.046,8.65,104.33,100.42,101.4,97.92666666666668,101.06,99.58666666666666,100.57666666666668,117.08,80816.07
161,24.863,6.24,3.328,1.045,1.2375,1.757,2.086,0.348,0.553,23.85,1.275,1.484,1.85,1.519,1.42,0.8,2.802,1.115,0.772,5.36,10.95,8.65,103.3,100.18,101.3,98.81333333333332,100.47,98.45333333333332,98.92333333333332,121.89,72651.45
162,24.955,6.24,3.316,1.055,1.26,1.743,1.904,0.348,0.553,24.01,1.33,1.568,1.82,1.358,1.35,0.765,2.772,1.255,0.74,5.36,11.07,8.625,103.4,99.65,100.9,99.7,99.88,97.32,97.27,112.26,78906.57
163,25.484,6.24,3.332,1.05,1.275,1.806,1.757,0.342,0.56,24.0,1.415,1.666,1.84,1.225,1.37,0.74,2.79,1.225,0.712,5.28,11.112,8.65,103.87,99.56,99.7,99.29666666666668,100.36666666666666,97.11,98.76,125.23,71906.75
164,25.576,6.32,3.352,1.05,1.29,1.757,2.156,0.339,0.567,24.02,1.36,1.701,1.77,1.253,1.42,0.725,2.814,1.345,0.832,5.2,10.842,8.65,104.34,100.06,99.4,98.89333333333332,100.85333333333334,96.9,100.25,127.73,73694.64
165,25.806,6.32,3.364,1.055,1.2975,1.799,2.226,0.333,0.574,23.71,1.225,1.694,1.79,0.0,1.48,0.7,2.766,0.0,0.888,5.2,10.716,8.65,101.59,100.55,99.1,98.49,101.34,96.69,101.74,120.85,73647.41
166,25.829,6.24,3.368,1.055,1.2975,1.764,2.065,0.336,0.574,24.07,1.195,1.582,1.81,0.0,1.5,0.69,2.796,0.0,1.208,5.28,10.806,8.625,102.09,100.34,98.9,94.76333333333334,99.03666666666668,99.98666666666666,100.7,126.28,62972.3
167,25.714,6.24,3.364,1.05,1.29,1.757,1.869,0.33,0.574,24.12,1.195,1.4,1.8,0.0,1.45,0.685,2.808,0.0,1.132,5.28,11.4,8.65,102.11,100.03,97.9,91.03666666666666,96.73333333333332,103.28333333333332,99.66,122.43,77079.0
168,25.599,6.4,3.392,1.04,1.29,1.582,1.89,0.315,0.574,24.01,1.175,1.407,1.82,0.0,0.0,0.67,2.82,0.0,0.0,5.52,12.372,8.65,100.53,99.93,97.1,87.31,94.43,106.58,98.62,116.7,62385.59
169,25.461,6.4,3.38,1.04,1.2825,1.554,1.883,0.315,0.574,23.3,1.165,1.407,1.85,0.0,0.0,0.67,2.802,0.0,0.0,5.44,10.728,8.65,97.9,99.9,96.8,87.42333333333333,95.18,105.76333333333334,101.96,116.72,69144.78
170,25.553,6.32,3.376,1.045,1.275,1.54,2.03,0.315,0.574,23.6,1.185,1.428,1.84,0.0,0.0,0.675,2.76,0.0,0.0,5.44,9.714,8.675,97.35,100.36,97.2,87.53666666666668,95.93,104.94666666666666,105.3,130.33,75756.49
171,25.576,6.32,3.368,1.045,1.2675,1.554,2.135,0.318,0.574,23.86,1.18,1.484,1.89,1.757,0.0,0.7,2.766,0.0,0.0,5.44,10.158,8.675,100.07,100.36,97.4,87.65,96.68,104.13,108.64,118.74,72361.79
172,25.507,6.24,3.344,1.05,1.2675,1.596,1.918,0.315,0.574,23.81,1.245,1.568,1.89,1.687,0.0,0.725,2.748,0.0,0.876,5.36,11.25,8.675,101.65,101.39,98.0,89.74333333333334,96.66666666666669,104.21666666666668,107.37666666666668,125.37,70636.34
173,25.346,6.24,3.332,1.045,1.26,1.61,1.568,0.315,0.574,23.61,1.29,1.638,1.86,1.526,0.0,0.755,2.754,0.0,0.812,5.36,10.926,8.675,100.5,100.76,98.4,91.83666666666667,96.65333333333334,104.30333333333331,106.11333333333332,121.93,75449.07
174,25.346,6.24,3.312,1.045,1.2525,1.638,1.799,0.315,0.574,23.94,1.35,1.687,1.92,1.428,0.0,0.755,2.76,0.0,0.76,5.36,10.878,8.675,101.03,100.87,98.1,93.93,96.64,104.39,104.85,108.78,71878.32
175,25.277,6.24,3.296,1.045,1.2675,1.659,1.897,0.315,0.574,23.62,1.405,1.722,1.93,1.477,0.0,0.715,2.79,0.0,0.788,5.44,11.418,8.675,101.55,101.04,98.0,94.26666666666668,99.1,106.27,105.30333333333331,127.54,77091.18
176,25.392,6.24,3.3,1.045,1.26,1.638,1.981,0.312,0.574,23.88,1.37,1.729,1.83,0.0,0.0,0.675,2.76,0.0,0.728,5.36,10.542,8.675,99.29,100.53,98.2,94.60333333333334,101.56,108.15,105.75666666666666,126.39,66094.53
177,25.461,6.24,3.292,1.045,1.26,1.631,1.897,0.315,0.574,23.9,1.275,1.771,1.84,0.0,0.0,0.66,2.742,0.0,0.764,5.36,11.058,8.675,99.76,100.47,98.8,94.94,104.02,110.03,106.21,121.89,69813.81
178,25.392,6.24,3.28,1.04,1.26,1.61,2.051,0.315,0.574,23.98,1.24,1.771,1.84,0.0,0.0,0.65,2.784,0.0,0.0,5.36,10.536,8.7,98.62,100.62,98.6,95.60666666666668,105.19,111.99,105.41333333333333,125.97,62608.57
179,25.461,6.24,3.248,1.04,1.26,1.61,2.093,0.312,0.581,24.17,1.235,1.568,1.84,0.0,0.0,0.655,2.766,0.0,0.0,5.36,10.404,8.7,98.54,100.75,99.5,96.27333333333333,106.36,113.95,104.61666666666666,123.78,71806.8
